"","year","week","neg","cv16","ev71","other_ev","total"
"1",2017,1,13,0,0,0,13
"2",2017,2,41,1,2,13,57
"3",2017,3,32,5,4,4,45
"4",2017,4,37,0,0,3,40
"5",2017,5,22,0,0,6,28
"6",2017,6,43,3,3,8,57
"7",2017,7,57,4,1,9,71
"8",2017,8,50,1,1,2,54
"9",2017,9,36,2,0,0,38
"10",2017,10,48,3,2,7,60
"11",2017,11,53,0,7,12,72
"12",2017,12,37,0,1,2,40
"13",2017,13,29,3,1,3,36
"14",2017,14,25,0,1,4,30
"15",2017,15,26,0,3,4,33
"16",2017,16,31,0,2,1,34
"17",2017,17,31,0,3,4,38
"18",2017,18,33,0,3,1,37
"19",2017,19,27,0,3,1,31
"20",2017,20,27,0,4,4,35
"21",2017,21,20,0,6,0,26
"22",2017,22,5,1,0,0,6
"23",2017,23,11,0,1,1,13
"24",2017,24,6,0,3,1,10
"25",2017,25,3,0,1,0,4
"26",2017,26,5,0,0,0,5
"27",2017,28,16,0,3,7,26
"28",2017,29,11,1,6,1,19
"29",2017,30,20,0,0,0,20
"30",2017,31,22,0,0,5,27
"31",2017,32,13,0,4,0,17
"32",2017,33,12,1,0,2,15
"33",2017,34,16,0,4,3,23
"34",2017,35,5,0,3,0,8
"35",2017,36,3,0,0,1,4
"36",2017,37,12,1,3,2,18
"37",2017,38,3,0,0,0,3
"38",2017,39,7,0,0,0,7
"39",2017,40,17,0,0,1,18
"40",2017,41,11,0,1,2,14
"41",2017,42,12,0,1,2,15
"42",2017,43,7,1,3,1,12
"43",2017,44,10,0,0,1,11
"44",2017,45,4,0,1,1,6
"45",2017,46,12,0,3,8,23
"46",2017,47,16,0,3,4,23
"47",2017,48,14,0,1,4,19
"48",2017,49,10,0,0,0,10
"49",2017,50,12,0,1,1,14
"50",2017,51,18,0,0,0,18
"51",2017,52,10,0,2,1,13
"52",2017,53,1,0,0,0,1
"53",2018,1,5,1,0,0,6
"54",2018,2,20,2,0,1,23
"55",2018,3,42,1,2,9,54
"56",2018,4,35,1,0,7,43
"57",2018,5,35,0,0,8,43
"58",2018,6,68,3,3,6,80
"59",2018,7,39,0,3,9,51
"60",2018,8,53,0,0,7,60
"61",2018,9,47,0,5,5,57
"62",2018,10,82,0,6,4,92
"63",2018,11,76,3,9,7,95
"64",2018,12,36,4,7,3,50
"65",2018,13,70,0,1,3,74
"66",2018,14,72,1,20,6,99
"67",2018,15,89,4,14,5,112
"68",2018,16,80,7,26,10,123
"69",2018,17,79,1,16,6,102
"70",2018,18,57,0,10,1,68
"71",2018,19,40,1,6,5,52
"72",2018,20,36,0,4,0,40
